# Constructed from biom file
#OTU ID	baseline_1	baseline_2	baseline_3	baseline_4	canola_1103_f23	canola_1103_s23	canola_112_f23	canola_112_s23	canola_603_f23	canola_603_s23	canola_707_f23	canola_707_s23	fallow_101_f23	fallow_101_s23	fallow_1112_f23	fallow_1112_s23	fallow_607_f23	fallow_607_s23	fallow_709_f23	fallow_709_s23
c0d5395792eadbf5f62e8ffb14fa0262	39201.0	31499.0	25873.0	30036.0	12235.0	31930.0	7327.0	32774.0	11297.0	30313.0	13768.0	23685.0	5689.0	21717.0	13132.0	35818.0	11077.0	23393.0	8790.0	24510.0
5673ae66819e3bdbbc09461e4959159e	22714.0	18186.0	15399.0	15632.0	1441.0	5262.0	349.0	6193.0	346.0	11882.0	1576.0	5607.0	127.0	5705.0	679.0	2597.0	142.0	8653.0	1535.0	3830.0
7725223cd6942a75811f97c5990dad90	0.0	0.0	0.0	0.0	32415.0	6211.0	0.0	0.0	3646.0	0.0	32262.0	0.0	0.0	0.0	0.0	20625.0	0.0	0.0	2403.0	0.0
8c316143dabab24a7573fc126b8e1453	0.0	234.0	0.0	517.0	20043.0	15309.0	8744.0	364.0	11308.0	0.0	2274.0	728.0	7050.0	2757.0	750.0	1029.0	5132.0	2238.0	5077.0	2274.0
84a431ef83fe2174eaa9945018c814e2	11138.0	10919.0	19503.0	13005.0	138.0	2517.0	165.0	2793.0	160.0	1780.0	284.0	2796.0	169.0	1239.0	330.0	3780.0	320.0	1329.0	171.0	2541.0
eb28b1a40981d38e6a0aab251174dae1	62.0	172.0	48.0	68.0	4062.0	7882.0	3420.0	3025.0	6814.0	899.0	5170.0	2115.0	2466.0	2035.0	7493.0	1111.0	4641.0	1273.0	1187.0	1817.0
a6c9d9e2159c39bcae3c6fa95fca503f	0.0	0.0	0.0	0.0	1114.0	15371.0	920.0	9358.0	2316.0	12644.0	749.0	2800.0	824.0	0.0	3424.0	0.0	2468.0	3566.0	16.0	0.0
b2500a11b052c1cb8d264713ac03853e	5411.0	4837.0	3605.0	4426.0	1063.0	3479.0	735.0	4658.0	1169.0	4206.0	1126.0	3598.0	461.0	2513.0	1071.0	4175.0	959.0	3442.0	679.0	3260.0
9c8c76cf4ff4d08be32cf5559658d8c2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8481.0	3668.0	0.0	4869.0	11814.0	0.0	0.0	0.0	0.0	3195.0	0.0	19350.0
428e4a80a1e14a59d72810a32f62f434	11192.0	8740.0	8457.0	9518.0	152.0	1864.0	550.0	3262.0	110.0	1824.0	129.0	335.0	16.0	1408.0	84.0	631.0	441.0	705.0	53.0	485.0
