Feature ID	Taxon	Confidence
c0d5395792eadbf5f62e8ffb14fa0262	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__; s__	1.0
5673ae66819e3bdbbc09461e4959159e	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_680892	0.9805009197291952
7725223cd6942a75811f97c5990dad90	d__Bacteria	0.8544984978380571
8c316143dabab24a7573fc126b8e1453	d__Bacteria	0.9257479768988972
84a431ef83fe2174eaa9945018c814e2	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria	0.7055005850745358
eb28b1a40981d38e6a0aab251174dae1	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Kineosporiaceae; g__Kineosporia; s__Kineosporia rhamnosa	0.878669500271611
a6c9d9e2159c39bcae3c6fa95fca503f	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Chitinophaga	0.9999857832180219
b2500a11b052c1cb8d264713ac03853e	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__; s__	0.9999999998562856
9c8c76cf4ff4d08be32cf5559658d8c2	d__Bacteria	0.887771547960597
428e4a80a1e14a59d72810a32f62f434	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales_A_650611; f__Pseudomonadaceae; g__Pseudomonas_B_650453; s__Pseudomonas_B_650453 rhizoryzae	0.8611937656207114
11bbab0a8346bd29cec2949798377228	d__Bacteria	0.9341121856135789
89db230ea07cd91b7222d5653b754524	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__; s__	0.9999999999967315
dcec0c7d8cc666202ccbf0ab606efd0a	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__; s__	0.8040162044466133
41769e8598a50ba67c822086ebfdb5b7	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__; s__	0.8192920231062155
c6e9c9fe9159441c4ffe44947875236a	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae_A_595421	0.9999999953458791
45e3696d78d57fc35094a6cf67e6414b	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Paenibacillales; f__Paenibacillaceae_367444; g__Paenibacillus_J_366882	0.9997094040886781
cc761daf51f27c423da57f3f1f0ff5cc	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_680892; g__Pantoea_680069	0.81485850652027
3bc20d635505cc7a9611e69b76c8b42e	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales_B_877923; f__Flavobacteriaceae; g__Flavobacterium	0.9999999999566875
78b14ac22ebd6a508a7f122a42beb87a	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Pseudonocardiaceae; g__Umezawaea	0.9235125880470553
