plot,subsample,trt,block,season,amapo_viable_seeds,amapo_total_seeds,amapo_p_viable,setfa_viable_seeds ,setfa_total_seeds,setfa_p_viable,setfa_recovered_seeds,setfa_buried_seeds,setfa_p_recovered,amapo_recovered_seeds,amapo_buried_seeds,amapo_p_recovered,amapo_viability,setfa_viability,amapo_mortality,setfa_mortality,cc_shoot_biomass_g,trit_biomass_g,can_biomass_g,clov_biomass_g,pea_biomass_g,sand,silt,clay,ph,p_ppm,k_ppm,mg_ppm,ca_ppm,cec,f22_gwc_9_29,s23_gwc_3_20,s23_gwc_4_14,s23_gwc_5_9,f23_gwc_6_6,f23_gwc_6_20,f23_gwc_7_6,f23_gwc_7_17,f22_n_mg_kg,s23_n_mg_kg_3_20,s23_n_mg_kg_4_14,s23_n_mg_kg_5_9,f23_n_mg_kg_6_6,f23_n_mg_kg_6_20,f23_n_mg_kg_7_6,f23_n_mg_kg_7_17
101,a,Fallow,1,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,0,0,0,0,0,26.925304,44.39297433,28.68172168,6.76,36,152,136,1145.9,9.5,0.18016654,NA,NA,NA,NA,NA,NA,NA,9.132574899,NA,NA,NA,NA,NA,NA,NA
101,b,Fallow,1,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,0,0,0,0,0,26.925304,44.39297433,28.68172168,6.76,36,152,136,1145.9,9.5,0.18016654,NA,NA,NA,NA,NA,NA,NA,9.132574899,NA,NA,NA,NA,NA,NA,NA
102,a,Clover,1,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,180.74875,0,0,180.74875,0,26.58522397,43.63001745,29.78475858,6.46,38,138,141,1308.6,10.1,0.179904306,NA,NA,NA,NA,NA,NA,NA,6.628675,NA,NA,NA,NA,NA,NA,NA
102,b,Clover,1,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,180.74875,0,0,180.74875,0,26.58522397,43.63001745,29.78475858,6.46,38,138,141,1308.6,10.1,0.179904306,NA,NA,NA,NA,NA,NA,NA,6.628675,NA,NA,NA,NA,NA,NA,NA
105,a,3sppN,1,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,206.01,46.92625,0,106.1725,52.91125,21.27197314,47.40272566,31.3253012,6.59,38,125,135,1139,9.3,0.198614319,NA,NA,NA,NA,NA,NA,NA,6.091104117,NA,NA,NA,NA,NA,NA,NA
105,b,3sppN,1,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,206.01,46.92625,0,106.1725,52.91125,21.27197314,47.40272566,31.3253012,6.59,38,125,135,1139,9.3,0.198614319,NA,NA,NA,NA,NA,NA,NA,6.091104117,NA,NA,NA,NA,NA,NA,NA
106,a,Pea,1,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,211.365,0,0,0,211.365,25.80044676,42.81459419,31.38495905,6.41,41,168,125,1060.8,8.8,0.191021968,NA,NA,NA,NA,NA,NA,NA,9.650595008,NA,NA,NA,NA,NA,NA,NA
106,b,Pea,1,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,211.365,0,0,0,211.365,25.80044676,42.81459419,31.38495905,6.41,41,168,125,1060.8,8.8,0.191021968,NA,NA,NA,NA,NA,NA,NA,9.650595008,NA,NA,NA,NA,NA,NA,NA
109,a,Triticale,1,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,194.4425,194.4425,0,0,0,18.86417792,48.649722,32.48610008,6.42,51,180,142,1294.1,10.9,0.1898017,NA,NA,NA,NA,NA,NA,NA,3.103873049,NA,NA,NA,NA,NA,NA,NA
109,b,Triticale,1,F22,396,408,0.971,281,288,0.976,NA,NA,NA,NA,NA,NA,0.971,0.976,0.029,0.024,194.4425,194.4425,0,0,0,18.86417792,48.649722,32.48610008,6.42,51,180,142,1294.1,10.9,0.1898017,NA,NA,NA,NA,NA,NA,NA,3.103873049,NA,NA,NA,NA,NA,NA,NA
