plot,subsample,trt,block,season,amapo_viable_seeds,amapo_total_seeds,amapo_p_viable,setfa_viable_seeds ,setfa_total_seeds,setfa_p_viable,setfa_recovered_seeds,setfa_buried_seeds,setfa_p_recovered,amapo_recovered_seeds,amapo_buried_seeds,amapo_p_recovered,amapo_viability,setfa_viability,amapo_mortality,setfa_mortality,cc_shoot_biomass_g_m2,trit_biomass_g_m2,can_biomass_g_m2,clov_biomass_g_m2,pea_biomass_g_m2,f23_gwc_10_3,s24_gwc_3_25,s24_gwc_5_20,f24_gwc_6_12,f24_gwc_6_27,f24_gwc_7_11,f23_mgN_kg,s24_mgN_kg_3_25,s24_mgN_kg_5_20,f24_mgN_kg_6_12,f24_mgN_kg_6_27,f24_mgN_kg_7_11,ph,p_ppm,k_ppm,mg_ppm,ca_ppm,cec,sand,silt,clay
201,A,Pea,1,F23,396,408,0.971,279,288,0.969,NA,NA,NA,NA,NA,NA,0.971,0.969,0.029,0.031,218.12,0,0,0,218.12,0.197125257,NA,NA,NA,NA,NA,9.380703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,B,Pea,1,F23,396,408,0.971,279,288,0.969,NA,NA,NA,NA,NA,NA,0.971,0.969,0.029,0.031,218.12,0,0,0,218.12,0.197125257,NA,NA,NA,NA,NA,9.380703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,A,Triticale,1,F23,396,408,0.971,279,288,0.969,NA,NA,NA,NA,NA,NA,0.971,0.969,0.029,0.031,157.53,157.53,0,0,0,0.179459459,NA,NA,NA,NA,NA,8.817048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,B,Triticale,1,F23,396,408,0.971,279,288,0.969,NA,NA,NA,NA,NA,NA,0.971,0.969,0.029,0.031,157.53,157.53,0,0,0,0.179459459,NA,NA,NA,NA,NA,8.817048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,A,4spp,1,F23,396,408,0.971,279,288,0.969,NA,NA,NA,NA,NA,NA,0.971,0.969,0.029,0.031,193.46,23.44,18.31,112.78,38.93,0.180473373,NA,NA,NA,NA,NA,4.672345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,B,4spp,1,F23,396,408,0.971,279,288,0.969,NA,NA,NA,NA,NA,NA,0.971,0.969,0.029,0.031,193.46,23.44,18.31,112.78,38.93,0.180473373,NA,NA,NA,NA,NA,4.672345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,S,4spp,1,F23,396,408,0.971,279,288,0.969,NA,NA,NA,NA,NA,NA,0.971,0.969,0.029,0.031,193.46,23.44,18.31,112.78,38.93,0.180473373,NA,NA,NA,NA,NA,4.672345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,A,Canola,1,F23,396,408,0.971,279,288,0.969,NA,NA,NA,NA,NA,NA,0.971,0.969,0.029,0.031,134.31,0,134.31,0,0,0.204193254,NA,NA,NA,NA,NA,12.19694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,B,Canola,1,F23,396,408,0.971,279,288,0.969,NA,NA,NA,NA,NA,NA,0.971,0.969,0.029,0.031,134.31,0,134.31,0,0,0.204193254,NA,NA,NA,NA,NA,12.19694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,C,Canola,1,F23,396,408,0.971,279,288,0.969,NA,NA,NA,NA,NA,NA,0.971,0.969,0.029,0.031,134.31,0,134.31,0,0,0.204193254,NA,NA,NA,NA,NA,12.19694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
