sample_name	plot	trt	season	block	setfa_mortality	sand	silt	clay	k_ppm	ca_ppm	mg_ppm	cec	burial_moisture	incubation_moisture	burial_n	incubation_n
#q2:types	numeric	categorical	categorical	categorical	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
fallow_101_s23	101	Fallow	S23	1	0.644	26.925304	44.39297433	28.68172168	152	1145.9	136	9.5	0.18016654	9.210345375	9.132574899	308.53585
canola_112_s23	112	Canola	S23	1	0.3345	19.58557482	47.8182905	32.59613469	157	938.7	132	8.2	0.183079974	9.96334425	1.054229727	464.8343375
canola_603_s23	603	Canola	S23	2	0.4415	41.42033165	36.04902668	22.53064167	143	1005.2	116	8.6	0.164513936	8.545545788	3.521756468	258.59325
fallow_607_s23	607	Fallow	S23	2	0.496	46.2575728	33.22259136	20.51983584	158	921.6	108	8.7	0.173214286	8.853654375	4.581547948	332.5391
canola_707_s23	707	Canola	S23	3	0.5025	39.61334344	35.74677786	24.6398787	133	971.9	114	9	0.178191489	9.27869145	3.51142585	365.233775
fallow_709_s23	709	Fallow	S23	3	0.689	37.16504854	35.65048544	27.18446602	157	1050.5	119	8.8	0.170181818	8.8265753	8.06803083	315.0070125
canola_1103_s23	1103	Canola	S23	4	0.4175	45.50920707	30.32694476	24.16384818	156	958.6	127	8.5	0.161128527	7.661467963	2.675619736	361.5170875
fallow_1112_s23	1112	Fallow	S23	4	0.75	30.63263041	43.72918979	25.6381798	144	1160.6	128	9.4	0.192642788	9.332951975	11.27184051	363.7717375
fallow_101_f23	101	Fallow	F23	1	0.7375	26.925304	44.39297433	28.68172168	152	1145.9	136	9.5	0.18016654	7.277352	9.132574899	351.040705
canola_112_f23	112	Canola	F23	1	0.5695	19.58557482	47.8182905	32.59613469	157	938.7	132	8.2	0.183079974	8.1181735	1.054229727	457.8363355
canola_603_f23	603	Canola	F23	2	0.5495	41.42033165	36.04902668	22.53064167	143	1005.2	116	8.6	0.164513936	7.12961	3.521756468	340.4242895
fallow_607_f23	607	Fallow	F23	2	0.5185	46.2575728	33.22259136	20.51983584	158	921.6	108	8.7	0.173214286	6.7156975	4.581547948	399.694597
canola_707_f23	707	Canola	F23	3	0.6745	39.61334344	35.74677786	24.6398787	133	971.9	114	9	0.178191489	7.1955635	3.51142585	495.685808
fallow_709_f23	709	Fallow	F23	3	0.8025	37.16504854	35.65048544	27.18446602	157	1050.5	119	8.8	0.170181818	7.3192005	8.06803083	422.718737
canola_1103_f23	1103	Canola	F23	4	0.6575	45.50920707	30.32694476	24.16384818	156	958.6	127	8.5	0.161128527	6.5338425	2.675619736	386.934013
fallow_1112_f23	1112	Fallow	F23	4	0.753	30.63263041	43.72918979	25.6381798	144	1160.6	128	9.4	0.192642788	7.734055	11.27184051	387.1677085
baseline_1	0	baseline	F22	0	0	0	0	0	0	0	0	0	0	0	0	0
baseline_2	0	baseline	F22	0	0	0	0	0	0	0	0	0	0	0	0	0
baseline_3	0	baseline	F22	0	0	0	0	0	0	0	0	0	0	0	0	0
baseline_4	0	baseline	F22	0	0	0	0	0	0	0	0	0	0	0	0	0
